# Znak Russian dictionary.
# Source: hingston/russian 50000-russian-words-cyrillic-only.txt
# Derived from University of Leeds Corpus, CC BY Attribution.
# Format:
#   word frequency
# Lines beginning with # are ignored. Frequency is optional; higher means earlier.
организовать 98577
эффект 98576
лететь 98575
торговый 98574
описание 98573
риск 98572
расположить 98571
лошадь 98570
коридор 98569
подруга 98568
совершить 98567
партнер 98566
капитал 98565
исключение 98564
конкурс 98563
схема 98562
ночной 98561
разница 98560
весна 98559
проверить 98558
черта 98557
возле 98556
красота 98555
тридцать 98554
рыба 98553
достать 98552
глубоко 98551
суметь 98550
добиться 98549
опубликовать 98548
точный 98547
петр 98546
аппарат 98545
трубка 98544
говориться 98543
восточный 98542
садиться 98541
ключ 98540
знаменитый 98539
теплый 98538
фамилия 98537
включать 98536
захотеть 98535
открытие 98534
включить 98533
чудо 98532
взглянуть 98531
заключаться 98530
полк 98529
кресло 98528
напротив 98527
обращение 98526
описать 98525
тихий 98524
менять 98523
чей 98522
восемь 98521
серый 98520
присутствовать 98519
давайте 98518
научиться 98517
министерство 98516
ольга 98515
неожиданно 98514
кино 98513
медицинский 98512
налог 98511
штат 98510
железный 98509
рад 98508
сведение 98507
культурный 98506
конфликт 98505
предыдущий 98504
середина 98503
вряд 98502
мертвый 98501
подарок 98500
забывать 98499
прекрасно 98498
расчет 98497
ранний 98496
запах 98495
замечать 98494
ездить 98493
терять 98492
пожалуй 98491
торговля 98490
камера 98489
тайна 98488
преступление 98487
столица 98486
выполнение 98485
эпоха 98484
больница 98483
выставка 98482
выпуск 98481
литературный 98480
виктор 98479
ссылка 98478
понятно 98477
уважение 98476
последствие 98475
ф 98474
буква 98473
изображение 98472
творческий 98471
фон 98470
учебный 98469
материальный 98468
деталь 98467
похоже 98466
заключение 98465
вес 98464
автобус 98463
воспоминание 98462
просьба 98461
радио 98460
человечество 98459
корпус 98458
вкус 98457
следить 98456
спустя 98455
вырасти 98454
миллиард 98453
заседание 98452
недостаток 98451
приносить 98450
путин 98449
заранее 98448
держаться 98447
отделение 98446
перспектива 98445
конференция 98444
разрешение 98443
спасти 98442
мощный 98441
тяжело 98440
готовить 98439
эффективный 98438
угроза 98437
продать 98436
производить 98435
обед 98434
переходить 98433
изучение 98432
олег 98431
обеспечивать 98430
заставлять 98429
подниматься 98428
вход 98427
страшно 98426
прочее 98425
сорок 98424
дойти 98423
отряд 98422
скажем 98421
поступать 98420
нижний 98419
южный 98418
газ 98417
четвертый 98416
печать 98415
водка 98414
дед 98413
телевизор 98412
беседа 98411
повышение 98410
крыша 98409
звонок 98408
ах 98407
продолжаться 98406
анна 98405
контакт 98404
приобрести 98403
истинный 98402
неужели 98401
дама 98400
мягкий 98399
уважаемый 98398
допустить 98397
творчество 98396
художественный 98395
сутки 98394
честно 98393
ресурс 98392
поверхность 98391
свойство 98390
значительно 98389
привыкнуть 98388
доступ 98387
вечный 98386
брак 98385
стекло 98384
мероприятие 98383
обсуждение 98382
установка 98381
случайно 98380
подать 98379
бороться 98378
мужской 98377
гореть 98376
связанный 98375
лишний 98374
реформа 98373
задание 98372
встречать 98371
пригласить 98370
билет 98369
свежий 98368
обязанность 98367
ввести 98366
расход 98365
ведущий 98364
повторять 98363
отечественный 98362
владелец 98361
оборудование 98360
беда 98359
сообщать 98358
впереди 98357
англия 98356
немедленно 98355
должно 98354
крик 98353
семейный 98352
дядя 98351
показатель 98350
указывать 98349
развиваться 98348
формирование 98347
сигнал 98346
назначить 98345
китай 98344
борис 98343
исходить 98342
трава 98341
лечение 98340
ящик 98339
учреждение 98338
замок 98337
воздействие 98336
стул 98335
слегка 98334
светлый 98333
пропасть 98332
учитывать 98331
обстановка 98330
соответственно 98329
сказка 98328
расстояние 98327
набор 98326
зло 98325
шум 98324
доказать 98323
спокойный 98322
явиться 98321
цифра 98320
сложиться 98319
познакомиться 98318
веселый 98317
мол 98316
диск 98315
удобный 98314
таков 98313
меняться 98312
оценить 98311
кофе 98310
шея 98309
ранее 98308
американец 98307
шанс 98306
книжка 98305
произвести 98304
игрок 98303
готовиться 98302
действительность 98301
чтение 98300
лестница 98299
лодка 98298
продавать 98297
вне 98296
собирать 98295
давление 98294
буквально 98293
потребитель 98292
убийство 98291
религиозный 98290
закончиться 98289
кусок 98288
стратегия 98287
достоинство 98286
постель 98285
серия 98284
верхний 98283
основать 98282
